Distance (m),Observed elevation (m)
3.7466080e+003,1.0340000e+003
3.7783368e+003,1.0280000e+003
3.8100646e+003,1.0210000e+003
3.8417923e+003,1.0200000e+003
3.8735211e+003,1.0110000e+003
3.9052489e+003,1.0080000e+003
3.9369776e+003,1.0120000e+003
3.9687054e+003,1.0010000e+003
4.0004332e+003,1.0130000e+003
4.0321619e+003,9.9900000e+002
4.0638897e+003,1.0050000e+003
4.0956185e+003,1.0110000e+003
4.1273463e+003,1.0040000e+003
4.1590741e+003,1.0140000e+003
4.1908028e+003,1.0180000e+003
4.2225306e+003,1.0040000e+003
4.2542593e+003,1.0060000e+003
4.2859871e+003,1.0050000e+003
4.3177149e+003,9.7900000e+002
4.3494437e+003,9.8100000e+002
4.3811715e+003,9.8200000e+002
4.4129002e+003,9.7000000e+002
4.4446280e+003,9.7100000e+002
4.4763558e+003,9.6400000e+002
4.5080845e+003,9.3500000e+002
4.5398123e+003,9.3600000e+002
4.5715411e+003,9.1400000e+002
4.6032689e+003,9.1900000e+002
4.6349976e+003,9.2400000e+002
4.6667254e+003,9.0200000e+002
4.6984532e+003,8.8900000e+002
4.7301819e+003,8.6000000e+002
4.7619097e+003,8.2400000e+002
4.7936385e+003,8.0600000e+002
4.8253663e+003,8.0200000e+002
